population,year,homicide,rape,robbery,aggravated_assault,burglary,larceny,motor_vehicle_theft
179323175,1960,5,10,60,86,509,1035,183
181712050,1961,5,9,58,86,519,1045,184
184100925,1962,5,9,60,89,535,1125,197
186489800,1963,5,9,62,92,576,1219,217
188878675,1964,5,11,68,106,635,1316,247
191267550,1965,5,12,72,111,663,1329,257
193656425,1966,6,13,81,120,721,1443,287
196045300,1967,6,14,103,130,827,1576,334
198434175,1968,7,16,132,144,932,1747,393
200823050,1969,7,19,148,155,984,1931,436
203211926,1970,8,19,172,165,1085,2079,457
205545314,1971,9,21,188,179,1164,2146,460
207878702,1972,9,23,181,189,1141,1994,426
210212090,1973,9,25,183,201,1223,2072,443
212545478,1974,10,26,209,216,1438,2490,462
214878866,1975,10,26,221,231,1532,2805,474
217212254,1976,9,27,199,233,1448,2921,450
219545642,1977,9,29,191,240,1420,2730,452
221879030,1978,9,31,196,262,1435,2747,461
220099000,1979,10,35,218,286,1512,2999,506
225349264,1980,10,37,251,298,1684,3167,502
229465714,1981,10,36,258,289,1647,3135,474
231664458,1982,9,34,239,289,1488,3083,459
233791994,1983,8,34,217,279,1339,2871,431
235824902,1984,8,36,206,291,1266,2795,438
237923795,1985,8,37,209,304,1292,2911,464
240132887,1986,9,38,226,347,1350,3022,510
242288918,1987,8,38,214,353,1336,3095,532
244498982,1988,8,38,222,372,1316,3152,586
246819230,1989,9,38,234,386,1284,3190,634
249464396,1990,9,41,256,423,1232,3185,656
252153092,1991,10,42,273,433,1252,3229,659
255029699,1992,9,43,264,442,1168,3104,632
257782608,1993,10,41,256,441,1100,3034,606
260327021,1994,9,39,238,428,1042,3027,591
262803276,1995,8,37,221,418,987,3043,560
265228572,1996,7,36,202,391,945,2980,526
267783607,1997,7,36,186,382,919,2892,506
270248003,1998,6,34,165,361,863,2729,460
272690813,1999,6,33,150,334,770,2551,422
281421906,2000,6,32,145,324,729,2477,412
285317559,2001,6,32,148,319,742,2486,431
287973924,2002,6,33,146,310,747,2451,433
290788976,2003,6,32,142,295,741,2416,434
293656842,2004,5,32,137,289,730,2362,422
296507061,2005,6,32,141,291,727,2288,417
299398484,2006,6,32,150,292,733,2213,400
301621157,2007,6,31,148,287,726,2185,365
304059724,2008,5,30,146,277,733,2166,315
307006550,2009,5,29,133,265,718,2064,259
309330219,2010,5,28,119,253,701,2006,239
311587816,2011,5,27,114,241,701,1974,230
313873685,2012,5,27,113,243,672,1965,230
316497531,2013,5,36,109,230,610,1902,221
318907401,2014,4,37,101,229,537,1822,215
320896618,2015,5,39,102,238,495,1784,222
323405935,2016,5,41,103,248,469,1745,237
325147121,2017,5,42,99,249,430,1696,238
327167434,2018,5,43,86,247,376,1595,229