year,median income,margin of error
1984,"51,742",235
1985,"52,709",286
1986,"54,608",283
1987,"55,260",269
1988,"55,716",284
1989,"56,678",312
1990,"55,952",286
1991,"54,318",260
1992,"53,897",255
1993,"53,610",251
1994,"54,233",247
1995,"55,931",323
1996,"56,744",286
1997,"57,911",268
1998,"60,040",355
1999,"61,526",287
2000,"61,399",193
2001,"60,038",183
2002,"59,360",195
2003,"59,286",257
2004,"59,080",261
2005,"59,712",200
2006,"60,178",258
2007,"60,985",170
2008,"58,811",160
2009,"58,400",250
2010,"56,873",375
2011,"56,006",281
2012,"55,900",229
2013,"57,856",706
2014,"56,969",416
2015,"59,901",340
2016,"61,779",456
2017,"62,868",343
2018,"63,179",420