"","state","year","population","poverty.rate","percent","median.income","margin.of.error","cluster"
"1341","PA",1994,12052000,1496000,12.41,53900,1099,3
"1342","PA",1995,12072000,1464000,12.13,56667,1121,3
"1343","PA",1996,12056000,1374000,11.4,55796,1557,3
"1344","PA",1997,12020000,1337000,11.12,58713,1509,2
"1345","PA",1998,12001000,1338000,11.15,60241,1668,2
"1346","PA",1999,11994016,1117000,9.31,57085,1725,3
"1347","PA",2000,12281054,1033000,8.41,61671,1029,9
"1348","PA",2001,12303104,1158000,9.41,61845,1028,9
"1349","PA",2002,12328827,1152000,9.34,59484,1113,2
"1350","PA",2003,12370761,1279000,10.34,58759,1065,2
"1351","PA",2004,12394471,1383000,11.16,58776,1385,2
"1352","PA",2005,12405348,1372000,11.06,59678,960,2
"1353","PA",2006,12440621,1397000,11.23,60523,1085,2
"1354","PA",2007,12432792,1273000,10.24,58805,1131,2
"1355","PA",2008,12448279,1335000,10.72,60096,689,2
"1356","PA",2009,12604767,1376000,10.92,56517,1099,3
"1357","PA",2010,12717722,1535000,12.07,55763,1741,3
"1358","PA",2011,12743948,1604000,12.59,55845,1895,3
"1359","PA",2012,12764475,1756000,13.76,56871,1539,3
"1360","PA",2013,12781296,1576000,12.33,59552,3170,2
"1361","PA",2014,12793767,1581000,12.36,58579,2406,2
"1362","PA",2015,12791904,1542000,12.05,64006,2360,9
"1363","PA",2016,12787085,1396000,10.92,63809,2130,9
"1364","PA",2017,12790447,1411000,11.03,64713,2820,9
"1365","PA",2018,12807060,1476000,11.52,64524,1635,9
"1366","RI",1984,962000,121000,12.58,49888,1957,5
"1367","RI",1985,968000,84000,8.68,54957,2009,3
"1368","RI",1986,975000,87000,8.92,58212,2325,2
"1369","RI",1987,986000,79000,8.01,59991,3053,2
"1370","RI",1988,995000,99000,9.95,61071,3242,2
"1371","RI",1989,998000,64000,6.41,59066,2655,2
"1372","RI",1990,1003464,71000,7.08,59736,2196,2
"1373","RI",1991,1004000,99000,9.86,55598,1967,3
"1374","RI",1992,1005000,119000,11.84,53538,2521,3
"1375","RI",1993,1000000,108000,10.8,57502,2655,2
"1376","RI",1994,997000,99000,9.93,53668,2220,3
"1377","RI",1995,990000,102000,10.3,58037,2254,2
"1378","RI",1996,990000,104000,10.51,59133,1656,2
"1379","RI",1997,987000,120000,12.16,54456,3498,3
"1380","RI",1998,988000,112000,11.34,62821,4103,9
"1381","RI",1999,990819,103000,10.4,64585,2993,9
"1382","RI",2000,1048319,106000,10.11,61702,1489,9
"1383","RI",2001,1059659,100000,9.44,65007,1631,9
"1384","RI",2002,1068326,116000,10.86,59371,1225,2
"1385","RI",2003,1076084,121000,11.24,61192,1709,2
"1386","RI",2004,1079916,122000,11.3,63879,2628,9
"1387","RI",2005,1073579,127000,11.83,63782,1877,9
"1388","RI",2006,1067610,110000,10.3,67088,2276,8
"1389","RI",2007,1057832,99000,9.36,65814,2245,9
"1390","RI",2008,1050788,132000,12.56,62246,2805,9
"1391","RI",2009,1053209,134000,12.72,60578,1696,2
"1392","RI",2010,1052528,146000,13.87,59582,1997,2
"1393","RI",2011,1050646,139000,13.23,54864,2554,3
"1394","RI",2012,1050304,141000,13.42,61431,2806,2
"1395","RI",2013,1053354,142000,13.48,60812,4159,2
"1396","RI",2014,1054907,119000,11.28,62252,4248,9
"1397","RI",2015,1055607,123000,11.65,59038,3442,2
"1398","RI",2016,1057566,119000,11.25,64383,2959,9
"1399","RI",2017,1056486,127000,12.02,68008,4312,8
"1400","RI",2018,1057315,92000,8.7,62266,3348,9
"1401","SC",1984,3300000,561000,17,46881,2156,7
"1402","SC",1985,3347000,489000,14.61,44715,1924,7
"1403","SC",1986,3378000,569000,16.84,48184,1895,7
"1404","SC",1987,3425000,512000,14.95,53114,2409,3
"1405","SC",1988,3493000,528000,15.12,52253,2353,5
"1406","SC",1989,3512000,585000,16.66,46662,2076,7
"1407","SC",1990,3486703,548000,15.72,53695,2584,3
"1408","SC",1991,3560000,582000,16.35,49516,2050,5
"1409","SC",1992,3603000,697000,19.34,48517,2523,7
"1410","SC",1993,3643000,678000,18.61,44707,1647,7
"1411","SC",1994,3664000,501000,13.67,50168,1915,5
"1412","SC",1995,3673000,744000,20.26,47716,2298,7
"1413","SC",1996,3699000,482000,13.03,55422,2246,3
"1414","SC",1997,3760000,500000,13.3,53619,2518,3
"1415","SC",1998,3836000,527000,13.74,51366,2023,5
"1416","SC",1999,3885736,445000,11.45,55125,2612,3
"1417","SC",2000,4012012,441000,10.99,54936,1370,3
"1418","SC",2001,4062125,603000,14.84,53652,1454,3
"1419","SC",2002,4103770,568000,13.84,52925,1713,5
"1420","SC",2003,4148744,516000,12.44,52663,1534,5
"1421","SC",2004,4197892,615000,14.65,51560,1361,5
"1422","SC",2005,4246933,626000,14.74,51854,1552,5
"1423","SC",2006,4321249,474000,10.97,49461,1682,5
"1424","SC",2007,4407709,617000,14,53677,1885,3
"1425","SC",2008,4479800,624000,13.93,49285,1311,5
"1426","SC",2009,4561242,618000,13.55,48221,1306,7
"1427","SC",2010,4637106,773000,16.67,48127,1685,7
"1428","SC",2011,4673348,874000,18.7,44850,1904,7
"1429","SC",2012,4723417,779000,16.49,48650,2363,7
"1430","SC",2013,4771929,745000,15.61,47035,2578,7
"1431","SC",2014,4829160,788000,16.32,47702,2383,7
"1432","SC",2015,4894834,683000,13.95,49137,2402,5
"1433","SC",2016,4959822,690000,13.91,56858,3299,3
"1434","SC",2017,5021219,773000,15.39,56311,2129,3
"1435","SC",2018,5084127,642000,12.63,57444,2082,2
"1436","SD",1984,706000,100000,14.16,44803,2142,7
"1437","SD",1985,708000,119000,16.81,40488,1567,1
"1438","SD",1986,708000,118000,16.67,43643,1456,1
"1439","SD",1987,709000,109000,15.37,44849,1266,7
"1440","SD",1988,715000,101000,14.13,45624,1439,7
"1441","SD",1989,715000,92000,12.87,47270,1959,7
"1442","SD",1990,696004,93000,13.36,45914,1603,7
"1443","SD",1991,703000,96000,13.66,44425,1406,7
"1444","SD",1992,711000,106000,14.91,46197,1177,7
"1445","SD",1993,715000,102000,14.27,47597,1785,7
"1446","SD",1994,721000,107000,14.84,49978,1992,5
"1447","SD",1995,729000,103000,14.13,48548,2643,7
"1448","SD",1996,732000,82000,11.2,47206,1604,7
"1449","SD",1997,738000,117000,15.85,46470,1792,7
"1450","SD",1998,738000,77000,10.43,50623,1564,5
"1451","SD",1999,733133,55000,7.5,54167,1427,3
"1452","SD",2000,754844,79000,10.47,53335,1005,3
"1453","SD",2001,758324,62000,8.18,56403,1217,3
"1454","SD",2002,760437,85000,11.18,53011,1334,3
"1455","SD",2003,764905,95000,12.42,54090,1374,3
"1456","SD",2004,770621,102000,13.24,54780,1326,3
"1457","SD",2005,774883,90000,11.61,55620,1765,3
"1458","SD",2006,781919,82000,10.49,56715,2049,3
"1459","SD",2007,796214,74000,9.29,56354,1093,3
"1460","SD",2008,804194,104000,12.93,60328,1163,2
"1461","SD",2009,812383,113000,13.91,53764,1512,3
"1462","SD",2010,816598,109000,13.35,52344,2360,5
"1463","SD",2011,823593,117000,14.21,52838,2402,5
"1464","SD",2012,834047,106000,12.71,54144,1868,3
"1465","SD",2013,845510,85000,10.05,57670,3150,2
"1466","SD",2014,853304,109000,12.77,56328,3761,3
"1467","SD",2015,857919,118000,13.75,58364,2760,2
"1468","SD",2016,861542,124000,14.39,60116,3218,2
"1469","SD",2017,873286,91000,10.42,58281,3722,2
"1470","SD",2018,882235,90000,10.2,59463,2642,2
"1471","TN",1984,4717000,800000,16.96,38739,1330,1
"1472","TN",1985,4762000,837000,17.58,39676,1243,1
"1473","TN",1986,4803000,853000,17.76,40042,1939,1
"1474","TN",1987,4855000,792000,16.31,44908,1686,7
"1475","TN",1988,4919000,883000,17.95,42682,2081,1
"1476","TN",1989,4940000,891000,18.04,44335,2559,7
"1477","TN",1990,4877185,833000,17.08,42216,1624,1
"1478","TN",1991,4953000,744000,15.02,44089,1650,7
"1479","TN",1992,5024000,858000,17.08,42782,1606,1
"1480","TN",1993,5099000,998000,19.57,43075,1426,1
"1481","TN",1994,5175000,779000,15.05,48140,1728,7
"1482","TN",1995,5256000,846000,16.1,47624,2081,7
"1483","TN",1996,5320000,878000,16.5,49227,1738,5
"1484","TN",1997,5368000,791000,14.74,47944,2125,7
"1485","TN",1998,5431000,749000,13.79,52638,2018,5
"1486","TN",1999,5483535,662000,12.07,55216,1981,3
"1487","TN",2000,5689283,759000,13.34,49856,1360,5
"1488","TN",2001,5749398,802000,13.95,50875,1125,5
"1489","TN",2002,5789796,839000,14.49,51831,1555,5
"1490","TN",2003,5845208,829000,14.18,51355,1616,5
"1491","TN",2004,5893298,932000,15.81,50735,1409,5
"1492","TN",2005,5955745,872000,14.64,50792,1535,5
"1493","TN",2006,6038803,879000,14.56,50804,943,5
"1494","TN",2007,6156719,906000,14.72,50013,1355,5
"1495","TN",2008,6214888,924000,14.87,46417,1416,7
"1496","TN",2009,6296254,1031000,16.37,47535,1159,7
"1497","TN",2010,6357436,1052000,16.55,44541,1451,7
"1498","TN",2011,6399787,1030000,16.09,47306,2860,7
"1499","TN",2012,6454914,1194000,18.5,47110,2637,7
"1500","TN",2013,6497269,1170000,18.01,46817,3709,7
"1501","TN",2014,6547779,1122000,17.14,46415,2470,7
"1502","TN",2015,6595056,973000,14.75,50165,1810,5
"1503","TN",2016,6649404,988000,14.86,53727,1451,3
"1504","TN",2017,6708794,769000,11.46,56587,2215,3
"1505","TN",2018,6770010,800000,11.82,56060,1442,3
"1506","TX",1984,15989000,2448000,15.31,53148,1230,3
"1507","TX",1985,16370000,2582000,15.77,52988,1219,3
"1508","TX",1986,16682000,2825000,16.93,52996,1127,3
"1509","TX",1987,16789000,2917000,17.37,52419,1351,5
"1510","TX",1988,16780000,3006000,17.91,51086,1191,5
"1511","TX",1989,16991000,2880000,16.95,50756,1096,5
"1512","TX",1990,16986510,2684000,15.8,52747,1338,5
"1513","TX",1991,17349000,2965000,17.09,50003,1129,5
"1514","TX",1992,17656000,3282000,18.59,49177,1115,5
"1515","TX",1993,18031000,3177000,17.62,49296,1052,5
"1516","TX",1994,18378000,3603000,19.6,51696,1101,5
"1517","TX",1995,18724000,3270000,17.46,52588,1041,5
"1518","TX",1996,19128000,3180000,16.62,52875,1220,5
"1519","TX",1997,19439000,3297000,16.96,54891,1377,3
"1520","TX",1998,19760000,2994000,15.15,55251,1022,3
"1521","TX",1999,20044141,3072000,15.33,58491,1542,2
"1522","TX",2000,20851820,3204000,15.37,56456,1148,3
"1523","TX",2001,21370983,3129000,14.64,58093,728,2
"1524","TX",2002,21736925,3362000,15.47,56196,788,3
"1525","TX",2003,22103374,3705000,16.76,53747,1043,3
"1526","TX",2004,22471549,3669000,16.33,55166,732,3
"1527","TX",2005,22928508,3681000,16.05,53391,541,3
"1528","TX",2006,23507783,3816000,16.23,54068,1034,3
"1529","TX",2007,23904380,3903000,16.33,55911,850,3
"1530","TX",2008,24326974,3834000,15.76,54353,788,3
"1531","TX",2009,24782302,4262000,17.2,55699,872,3
"1532","TX",2010,25253466,4633000,18.35,54554,1338,3
"1533","TX",2011,25631778,4458000,17.39,54879,1290,3
"1534","TX",2012,26060796,4444000,17.05,56896,1041,3
"1535","TX",2013,26505637,4425000,16.69,55503,1468,3
"1536","TX",2014,26979078,4364000,16.18,57201,1427,2
"1537","TX",2015,27429639,4036000,14.71,59856,1366,2
"1538","TX",2016,27904862,3812000,13.66,60844,1472,2
"1539","TX",2017,28322717,3768000,13.3,60740,1743,2
"1540","TX",2018,28701845,3894000,13.57,59785,1372,2
"1541","UT",1984,1652000,183000,11.08,53224,1697,3
"1542","UT",1985,1645000,180000,10.94,56325,1567,3
"1543","UT",1986,1665000,209000,12.55,57644,1777,2
"1544","UT",1987,1680000,173000,10.3,56252,2532,3
"1545","UT",1988,1691000,162000,9.58,53849,1860,3
"1546","UT",1989,1707000,138000,8.08,60229,1988,2
"1547","UT",1990,1722850,143000,8.3,56324,1902,3
"1548","UT",1991,1770000,222000,12.54,50513,2450,5
"1549","UT",1992,1813000,172000,9.49,60257,2014,2
"1550","UT",1993,1860000,203000,10.91,61409,2131,2
"1551","UT",1994,1908000,154000,8.07,60035,1750,2
"1552","UT",1995,1951000,168000,8.61,59877,1508,2
"1553","UT",1996,2000000,153000,7.65,59216,2126,2
"1554","UT",1997,2059000,185000,8.98,66941,2793,8
"1555","UT",1998,2100000,190000,9.05,68400,2123,8
"1556","UT",1999,2129836,126000,5.92,69621,2442,8
"1557","UT",2000,2233169,170000,7.61,69529,1522,8
"1558","UT",2001,2278712,238000,10.44,67309,2276,8
"1559","UT",2002,2318789,228000,9.83,66991,1604,8
"1560","UT",2003,2352119,213000,9.06,67439,1234,8
"1561","UT",2004,2420708,241000,9.96,67791,1235,8
"1562","UT",2005,2490334,232000,9.32,70651,1680,8
"1563","UT",2006,2550063,235000,9.22,68202,2086,8
"1564","UT",2007,2645330,255000,9.64,64987,1479,9
"1565","UT",2008,2736424,209000,7.64,73115,1784,6
"1566","UT",2009,2784572,270000,9.7,68623,1863,8
"1567","UT",2010,2775479,278000,10.02,65443,2265,9
"1568","UT",2011,2814347,309000,10.98,62092,1856,9
"1569","UT",2012,2854871,312000,10.93,63924,3226,9
"1570","UT",2013,2902787,239000,8.23,65913,1677,9
"1571","UT",2014,2944498,298000,10.12,67296,3430,8
"1572","UT",2015,2990632,279000,9.33,70227,2609,8
"1573","UT",2016,3044321,264000,8.67,70613,2341,8
"1574","UT",2017,3103118,269000,8.67,73058,2305,6
"1575","UT",2018,3161105,219000,6.93,77067,2327,4
"1576","VA",1984,5636000,554000,9.83,61229,2018,2
"1577","VA",1985,5706000,558000,9.78,63446,2955,9
"1578","VA",1986,5787000,547000,9.45,65176,2356,9
"1579","VA",1987,5904000,583000,9.87,63604,2148,9
"1580","VA",1988,5996000,647000,10.79,66814,2699,8
"1581","VA",1989,6098000,671000,11,66897,2363,8
"1582","VA",1990,6187358,705000,11.39,65538,1958,9
"1583","VA",1991,6286000,608000,9.67,65156,2409,9
"1584","VA",1992,6377000,592000,9.28,67201,2391,8
"1585","VA",1993,6491000,627000,9.66,62519,2380,9
"1586","VA",1994,6552000,710000,10.84,63281,2573,9
"1587","VA",1995,6618000,648000,9.79,59454,2283,2
"1588","VA",1996,6675000,795000,11.91,62690,2333,9
"1589","VA",1997,6734000,858000,12.74,67226,2969,8
"1590","VA",1998,6791000,589000,8.67,66941,3389,8
"1591","VA",1999,6872912,537000,7.81,69081,2676,8
"1592","VA",2000,7078515,577000,8.15,68964,1557,8
"1593","VA",2001,7196750,564000,7.84,71431,1632,6
"1594","VA",2002,7287829,702000,9.63,69468,1806,8
"1595","VA",2003,7365284,740000,10.05,74977,2139,6
"1596","VA",2004,7481332,693000,9.26,68151,1487,8
"1597","VA",2005,7564327,684000,9.04,66915,1527,8
"1598","VA",2006,7642884,651000,8.52,71312,1988,8
"1599","VA",2007,7712091,664000,8.61,71824,1657,6
"1600","VA",2008,7769089,799000,10.28,72469,1692,6
"1601","VA",2009,7882590,831000,10.54,70981,1400,8
"1602","VA",2010,8023953,835000,10.41,69675,2268,8
"1603","VA",2011,8104384,907000,11.19,70062,1984,8
"1604","VA",2012,8186628,850000,10.38,70818,2373,8
"1605","VA",2013,8270345,854000,10.33,71160,2958,8
"1606","VA",2014,8328098,842000,10.11,70239,3128,8
"1607","VA",2015,8367587,894000,10.68,65169,2585,9
"1608","VA",2016,8414380,929000,11.04,69535,2549,8
"1609","VA",2017,8465207,847000,10.01,73031,3356,6
"1610","VA",2018,8517685,821000,9.64,77151,3086,4
"1611","VT",1984,530000,65000,12.26,52118,2269,5
"1612","VT",1985,535000,48000,8.97,58025,2102,2
"1613","VT",1986,541000,58000,10.72,53954,2200,3
"1614","VT",1987,548000,50000,9.12,53890,2913,3
"1615","VT",1988,556000,43000,7.73,59324,2204,2
"1616","VT",1989,567000,44000,7.76,61362,2227,2
"1617","VT",1990,562758,61000,10.84,58110,2487,2
"1618","VT",1991,567000,73000,12.87,52567,2203,5
"1619","VT",1992,570000,61000,10.7,57625,2345,2
"1620","VT",1993,576000,59000,10.24,53308,1641,3
"1621","VT",1994,580000,45000,7.76,60180,3204,2
"1622","VT",1995,585000,61000,10.43,55518,2039,3
"1623","VT",1996,589000,74000,12.56,51734,1998,5
"1624","VT",1997,589000,54000,9.17,54857,2703,3
"1625","VT",1998,591000,58000,9.81,60792,2457,2
"1626","VT",1999,593740,58000,9.77,62869,2127,9
"1627","VT",2000,608827,60000,9.86,57896,1347,2
"1628","VT",2001,612978,59000,9.63,57999,1342,2
"1629","VT",2002,616408,61000,9.9,60186,1162,2
"1630","VT",2003,619343,52000,8.4,59208,1337,2
"1631","VT",2004,621233,48000,7.73,63071,1692,9
"1632","VT",2005,622387,47000,7.55,65355,1687,9
"1633","VT",2006,623908,48000,7.69,64897,1581,9
"1634","VT",2007,621254,61000,9.82,57534,1697,2
"1635","VT",2008,621270,55000,8.85,59283,1148,2
"1636","VT",2009,621760,58000,9.33,61381,1687,2
"1637","VT",2010,625909,67000,10.7,64551,2593,9
"1638","VT",2011,626592,71000,11.33,58029,2246,2
"1639","VT",2012,625953,69000,11.02,60901,3320,2
"1640","VT",2013,626855,54000,8.61,70735,4333,8
"1641","VT",2014,626767,57000,9.09,64455,3289,9
"1642","VT",2015,626088,65000,10.38,63058,2779,9
"1643","VT",2016,623354,60000,9.63,63660,1427,9
"1644","VT",2017,624525,63000,10.09,65360,3209,9
"1645","VT",2018,626299,60000,9.58,70066,2350,8
"1646","WA",1984,4349000,479000,11.01,57748,1900,2
"1647","WA",1985,4409000,526000,11.93,53562,1687,3
"1648","WA",1986,4463000,563000,12.61,58960,2084,2
"1649","WA",1987,4538000,450000,9.92,57928,2349,2
"1650","WA",1988,4619000,402000,8.7,66157,2108,9
"1651","WA",1989,4761000,455000,9.56,62668,2886,9
"1652","WA",1990,4866692,434000,8.92,60005,2315,2
"1653","WA",1991,5018000,474000,9.45,61249,2137,2
"1654","WA",1992,5136000,574000,11.18,59639,2194,2
"1655","WA",1993,5255000,634000,12.06,61184,1906,2
"1656","WA",1994,5343000,614000,11.49,56366,2000,3
"1657","WA",1995,5431000,677000,12.47,58380,2055,2
"1658","WA",1996,5533000,666000,12.04,58637,2571,2
"1659","WA",1997,5610000,529000,9.43,69738,2684,8
"1660","WA",1998,5689000,512000,9,73220,2129,6
"1661","WA",1999,5756361,545000,9.47,68749,3145,8
"1662","WA",2000,5894121,634000,10.76,62182,1771,9
"1663","WA",2001,5993390,634000,10.58,60411,1797,2
"1664","WA",2002,6067060,657000,10.83,63243,1349,9
"1665","WA",2003,6131298,766000,12.49,65020,1909,9
"1666","WA",2004,6207046,700000,11.28,66527,1423,8
"1667","WA",2005,6291899,636000,10.11,65280,1347,9
"1668","WA",2006,6395798,502000,7.85,68321,1553,8
"1669","WA",2007,6468424,661000,10.22,70512,2108,8
"1670","WA",2008,6549224,680000,10.38,66210,2363,9
"1671","WA",2009,6664195,781000,11.72,70853,1407,8
"1672","WA",2010,6742950,779000,11.55,64822,2378,9
"1673","WA",2011,6823267,854000,12.52,63610,2219,9
"1674","WA",2012,6895318,796000,11.54,68139,2464,8
"1675","WA",2013,6973742,819000,11.74,69017,3656,8
"1676","WA",2014,7063166,852000,12.06,62714,2330,9
"1677","WA",2015,7160290,819000,11.44,71271,3448,8
"1678","WA",2016,7280934,800000,10.99,73573,2189,6
"1679","WA",2017,7425432,736000,9.91,77256,3388,4
"1680","WA",2018,7535591,647000,8.59,79726,3025,4
"1681","WI",1984,4766000,730000,15.32,47882,1895,7
"1682","WI",1985,4775000,544000,11.39,51879,2591,5
"1683","WI",1986,4785000,501000,10.47,57970,1761,2
"1684","WI",1987,4807000,428000,8.9,55913,2990,3
"1685","WI",1988,4858000,364000,7.49,60525,2001,2
"1686","WI",1989,4867000,393000,8.07,57103,2431,3
"1687","WI",1990,4891769,448000,9.16,57387,1676,2
"1688","WI",1991,4955000,492000,9.93,56134,1835,3
"1689","WI",1992,5007000,560000,11.18,58598,1930,2
"1690","WI",1993,5038000,636000,12.62,54511,2299,3
"1691","WI",1994,5082000,453000,8.91,59484,2138,2
"1692","WI",1995,5123000,449000,8.76,67222,2163,8
"1693","WI",1996,5160000,460000,8.91,63953,2846,9
"1694","WI",1997,5170000,422000,8.16,61965,1800,9
"1695","WI",1998,5224000,449000,8.59,63811,1962,9
"1696","WI",1999,5250446,466000,8.88,69042,2839,8
"1697","WI",2000,5363675,493000,9.19,65929,1392,9
"1698","WI",2001,5405947,423000,7.82,64471,1597,9
"1699","WI",2002,5439692,467000,8.59,64250,1324,9
"1700","WI",2003,5474290,528000,9.65,63324,1339,9
"1701","WI",2004,5503533,676000,12.28,60943,1782,2
"1702","WI",2005,5527644,553000,10,57552,1518,2
"1703","WI",2006,5556506,555000,9.99,64536,1431,9
"1704","WI",2007,5601640,601000,10.73,62253,1263,9
"1705","WI",2008,5627967,544000,9.67,59860,996,2
"1706","WI",2009,5654774,599000,10.59,60112,946,2
"1707","WI",2010,5691659,567000,9.96,58114,1656,2
"1708","WI",2011,5709843,743000,13.01,58248,2313,2
"1709","WI",2012,5724554,640000,11.18,58159,1873,2
"1710","WI",2013,5742953,618000,10.76,55849,2839,3
"1711","WI",2014,5759432,628000,10.9,61665,2287,9
"1712","WI",2015,5767891,654000,11.34,58745,1576,2
"1713","WI",2016,5772917,620000,10.74,62593,1931,9
"1714","WI",2017,5792051,551000,9.51,64998,3763,9
"1715","WI",2018,5813568,499000,8.58,62629,2039,9
"1716","WV",1984,1952000,392000,20.08,38880,1403,1
"1717","WV",1985,1936000,423000,21.85,35670,1848,1
"1718","WV",1986,1919000,432000,22.51,36111,1985,1
"1719","WV",1987,1897000,408000,21.51,36486,1650,1
"1720","WV",1988,1884000,337000,17.89,39606,1903,1
"1721","WV",1989,1857000,283000,15.24,42503,1653,1
"1722","WV",1990,1793477,328000,18.29,41366,2134,1
"1723","WV",1991,1801000,327000,18.16,41735,1655,1
"1724","WV",1992,1812000,401000,22.13,35662,1569,1
"1725","WV",1993,1820000,400000,21.98,38475,1683,1
"1726","WV",1994,1822000,336000,18.44,39609,2046,1
"1727","WV",1995,1828000,300000,16.41,40837,1428,1
"1728","WV",1996,1826000,323000,17.69,40365,2080,1
"1729","WV",1997,1816000,286000,15.75,43018,2058,1
"1730","WV",1998,1811000,312000,17.23,41232,1204,1
"1731","WV",1999,1806928,272000,15.05,44293,1737,7
"1732","WV",2000,1808344,261000,14.43,43006,943,1
"1733","WV",2001,1800975,291000,16.16,42188,958,1
"1734","WV",2002,1804884,293000,16.23,41094,978,1
"1735","WV",2003,1811440,310000,17.11,44840,1359,7
"1736","WV",2004,1812548,254000,14.01,44473,1563,7
"1737","WV",2005,1814083,276000,15.21,46976,1387,7
"1738","WV",2006,1818470,277000,15.23,47965,1516,7
"1739","WV",2007,1812035,265000,14.62,51101,1201,5
"1740","WV",2008,1814468,260000,14.33,44420,1641,7
"1741","WV",2009,1819777,285000,15.66,47504,1071,7
"1742","WV",2010,1854368,306000,16.5,49372,2906,5
"1743","WV",2011,1854908,318000,17.14,46794,1976,7
"1744","WV",2012,1856680,301000,16.21,47721,3039,7
"1745","WV",2013,1853595,315000,16.99,46502,3729,7
"1746","WV",2014,1848751,376000,20.34,41993,2330,1
"1747","WV",2015,1841053,261000,14.18,45389,3320,7
"1748","WV",2016,1828637,326000,17.83,46412,2087,7
"1749","WV",2017,1817048,311000,17.12,46499,1521,7
"1750","WV",2018,1805832,279000,15.45,50573,1337,5
"1751","WY",1984,511000,53000,10.37,54976,1687,3
"1752","WY",1985,509000,61000,11.98,49279,2341,5
"1753","WY",1986,507000,73000,14.4,51673,1893,5
"1754","WY",1987,490000,49000,10,58502,3092,2
"1755","WY",1988,471000,43000,9.13,54066,2241,3
"1756","WY",1989,475000,50000,10.53,57884,2527,2
"1757","WY",1990,453588,51000,11.24,55050,1852,3
"1758","WY",1991,460000,47000,10.22,52378,2492,5
"1759","WY",1992,466000,49000,10.52,53146,2498,3
"1760","WY",1993,470000,64000,13.62,50523,2003,5
"1761","WY",1994,476000,45000,9.45,55705,3106,3
"1762","WY",1995,480000,59000,12.29,51751,1865,5
"1763","WY",1996,481000,58000,12.06,49487,1372,5
"1764","WY",1997,480000,66000,13.75,52306,2255,5
"1765","WY",1998,481000,51000,10.6,54428,2032,3
"1766","WY",1999,479602,56000,11.68,56314,1943,3
"1767","WY",2000,493782,52000,10.53,57947,1544,2
"1768","WY",2001,493754,42000,8.51,56471,1658,3
"1769","WY",2002,498830,44000,8.82,55656,1366,3
"1770","WY",2003,502111,48000,9.56,58241,1369,2
"1771","WY",2004,505887,50000,9.88,60497,1527,2
"1772","WY",2005,508798,54000,10.61,57639,1944,2
"1773","WY",2006,515004,51000,9.9,58730,1876,2
"1774","WY",2007,522830,56000,10.71,59178,1655,2
"1775","WY",2008,532668,54000,10.14,62359,1844,9
"1776","WY",2009,544270,50000,9.19,61559,2500,9
"1777","WY",2010,564554,53000,9.39,60249,2517,2
"1778","WY",2011,567356,60000,10.58,60991,2548,2
"1779","WY",2012,576626,56000,9.71,63016,3090,9
"1780","WY",2013,583223,68000,11.66,72817,4306,6
"1781","WY",2014,584304,55000,9.41,59128,2144,2
"1782","WY",2015,586555,56000,9.55,64575,2145,9
"1783","WY",2016,584910,62000,10.6,60513,3267,2
"1784","WY",2017,578934,70000,12.09,59247,3210,2
"1785","WY",2018,577737,53000,9.17,62539,3892,9
